title,description,kind,priority,startsAt,dueAt,estimateHours,assigneeEmail,tagNames
Export Data — tombol export CSV per halaman data,"Ada toggle izinExportData di preferensi akses tapi tidak ada tombol export di halaman data. Tambah export CSV di: halaman kinerja divisi (activities), pengaduan layanan publik (daftar pengaduan), activity log admin. Cek preferensi izinExportData sebelum render tombol.",TASK,MEDIUM,2026-05-21,2026-05-30,16,nicoarya20@gmail.com,frontend;backend;export;csv
Search & Filter backend — pengaduan dan activity log,"Tambah query parameter ke API: ?status= dan ?dateFrom=&dateTo= di GET /api/complaint/recent, ?userId= dan ?action= di GET /api/activity-log. Update UI di halaman pengaduan dan admin activity log untuk render filter bar dan kirim params saat filter berubah.",TASK,MEDIUM,2026-05-21,2026-05-27,12,nicoarya20@gmail.com,backend;frontend;filter;search
Rate limiting — middleware ke endpoint sensitif,"Tambah Elysia rate-limit plugin ke: POST /api/auth/* (max 10 req/menit), POST /api/jenna/chat (max 20 req/menit), POST /api/noc/sync dan /api/demografi/sync (max 5 req/menit). Return HTTP 429 dengan retry-after header saat limit terlampaui.",TASK,MEDIUM,2026-05-21,2026-05-25,4,nicoarya20@gmail.com,backend;security;rate-limit
Audit log — catat aksi sensitif admin ke ActivityLog,"Pastikan ActivityLog dibuat saat: update role user, delete user, trigger NOC sync, trigger demografi sync, create/delete API key. Log harus berisi: userId, action string, metadata JSON (target userId, old/new value), ipAddress. Beberapa aksi saat ini tidak ter-log.",TASK,MEDIUM,2026-05-21,2026-05-25,6,nicoarya20@gmail.com,backend;security;audit-log
2FA TOTP — implementasi Two Factor Authentication,"Ada toggle 2FA di preferensi keamanan tapi tidak ada implementasi. Langkah: install better-auth/plugins twoFactor, endpoint setup (/api/auth/2fa/setup) yang return QR code TOTP, endpoint verify (/api/auth/2fa/verify), update login flow untuk prompt kode 2FA jika aktif, UI setup di modal keamanan.",TASK,LOW,2026-05-21,2026-06-07,24,nicoarya20@gmail.com,backend;frontend;auth;security;2fa
Notifikasi real-time — SSE untuk event penting,"Implementasikan Server-Sent Events di Elysia: GET /api/notifications/stream. Event yang di-push: sync NOC/demografi selesai, complaint baru masuk, undangan diterima. Frontend subscribe via EventSource dan update notif store. src/store/notif.ts sudah ada tapi tidak ada mekanisme push.",TASK,LOW,2026-05-21,2026-06-05,16,nicoarya20@gmail.com,backend;frontend;notifications;sse
Phase 2 — API routes untuk HealthRecord dan Posyandu,"Model HealthRecord dan Posyandu sudah ada di Prisma schema tapi belum ada routes. Buat src/api/sosial.ts: GET /api/sosial/health-records (list filter banjar/tahun), GET /api/sosial/posyandu (jadwal bulanan). Mount di src/api/index.tsx.",TASK,LOW,2026-05-21,2026-06-07,16,nicoarya20@gmail.com,backend;sosial;phase2
Phase 2 — API routes untuk BudgetTransaction,"Model BudgetTransaction ada di schema tapi belum ada routes. Buat: GET /api/budget/transactions (list filter bulan/kategori), POST /api/budget/transactions (create), GET /api/budget/summary/:year (aggregate per kategori). Digunakan di halaman keuangan-anggaran.",TASK,LOW,2026-05-21,2026-06-07,12,nicoarya20@gmail.com,backend;keuangan;phase2
Phase 2 — API routes SecurityReport lokal dan Umkm lokal,"Model SecurityReport dan Umkm ada di schema tapi belum ada routes. Buat: GET/POST /api/keamanan/laporan-lokal (data dari DB sendiri, melengkapi external), GET /api/umkm/lokal (data UMKM dikelola lokal). Bedakan dari data external API.",TASK,LOW,2026-05-21,2026-06-07,12,nicoarya20@gmail.com,backend;keamanan;umkm;phase2
Error boundary & skeleton loading — audit semua halaman,"Audit semua halaman utama pastikan ada: Skeleton loading saat fetch, error state dengan tombol retry, empty state informatif jika data kosong. Prioritas: /kinerja-divisi, /pengaduan-layanan-publik, /demografi-pekerjaan, /keuangan-anggaran, /sosial.",TASK,LOW,2026-05-21,2026-05-30,16,nicoarya20@gmail.com,frontend;ux;error-handling;loading
IP Whitelist — enforcement logic di middleware,"Ada toggle IP whitelist di preferensi keamanan tapi tidak ada enforcement. Buat middleware Elysia yang baca daftar whitelist dari DB/preferensi dan validasi IP request. Jika IP tidak di whitelist dan fitur aktif, return 403 Forbidden. Kecualikan endpoint publik (/api/auth/*).",TASK,LOW,2026-05-21,2026-06-05,8,nicoarya20@gmail.com,backend;security;ip-whitelist
